,job_id,job_title,company,state,district,location_desc,category,role,min_salary,max_salary,type_salary,date
24,74597374,Admin Assistant,Esteel Enterprise Sabah Sdn. Bhd.,12,1221,sipitang district,01,administration-officer,2000.0,3000.0,monthly,2024-03-20
25,74668471,Audit Associate,Pwco E-Services Sdn. Bhd.,14,,kuala lumpur,00,audit-associate,2700.0,3600.0,monthly,2024-03-22
27,74673818,Mechanical Design Engineer,Genetec Technology Berhad,10,1002,hulu langat,11,mechanical-design-engineer,3000.0,4000.0,monthly,2024-03-22
29,74668885,Finance Specialist/Senior Account Executive,Garmin Malaysia Sdn. Bhd.,14,14,kl eco city,00,finance-specialist,4200.0,6300.0,monthly,2024-03-22
30,74657239,Admin. & Accounts Clerk,Classic Mode Sdn. Bhd.,10,1002,hulu langat,00,Accounts-and-Administration-Clerk,2000.0,2500.0,monthly,2024-03-22
31,74663123,Engineer,Sunshine Circuit (Penang) Sdn. Bhd.,06,0602,seberang perai,11,engineer,3500.0,4000.0,monthly,2024-03-22
32,74669022,HR & Admin Manager,Bio Harvest Sdn. Bhd.,10,10,gombak district,16,Human-Resources-and-Administration-Manager,6500.0,7500.0,monthly,2024-03-22
34,74658451,Personal Assistant For Project Manager,Distinct Hub Plt,10,1007,petaling,01,personal-assistant,3000.0,4500.0,monthly,2024-03-22
38,74662952,Customer Service Representative,Swift-Value Business Pte. Ltd.,10,1007,petaling,01,customer-service-representative-csr,2900.0,4000.0,monthly,2024-03-22
39,74677712,Audit and Tax Assistant (Fresh Graduates),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,01,,johor bahru district,00,tax-assistant,2800.0,3200.0,monthly,2024-03-23
40,74665220,Planner Controller,Otc Cosmetic Industries Sdn. Bhd.,10,,kuala selangor district,11,Controller,2000.0,3000.0,monthly,2024-03-22
41,74636538,Office Services Assistant (6 months contract),Wong & Partners,14,,kuala lumpur,01,office-services-assistant,3000.0,4300.0,monthly,2024-03-21
43,74664997,HR Manager,Tmk Chemical Bhd..,10,1005,kuala langat,16,human-resources-manager,10000.0,15000.0,monthly,2024-03-22
45,74649922,Operation Clerk,Top Speed Transport Sdn. Bhd.,01,,johor bahru district,01,operations-clerk,2000.0,3000.0,monthly,2024-03-22
47,74657902,E-commerce / Sales Admin / Secretary,Cip Group Sdn. Bhd.,05,0506,seremban district,01,Administrative-Secretary,3500.0,5000.0,monthly,2024-03-22
48,74653378,Data Analyst (E-Commerce),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,10,,kuala selangor district,17,data-analyst,4000.0,4500.0,monthly,2024-03-22
49,74661191,Sales Executive (Management Trainee) - KEPONG,Wintoo Technology Sdn. Bhd.,14,14,kepong,25,management-trainee,3600.0,5400.0,monthly,2024-03-22
51,74633497,Finance & Office Executive,Ice Cube Marketing,01,,johor bahru district,00,Office-Executive,2500.0,3750.0,monthly,2024-03-21
52,74634463,Account executive,Ever Fresh Cameron Sdn. Bhd.,14,,kuala lumpur,00,account-executive,4000.0,6000.0,monthly,2024-03-21
53,74665977,Sales Executive (Microbiology),Chemopharm Sdn. Bhd.,10,,selangor,25,sales-executive,3800.0,5500.0,monthly,2024-03-22
54,74647822,Admin Executive cum PA to Managing Director,Ecopia Sdn. Bhd.,10,,selangor,01,personal-assistant-to-the-managing-director,3500.0,4500.0,monthly,2024-03-22
55,74668354,CORPORATE SALES EXECUTIVE,Vodatel Sdn. Bhd.,14,,kuala lumpur,25,corporate-sales-executive,3000.0,4500.0,monthly,2024-03-22
57,74654668,Sales Admin Clerk ( éå®è¡æ¿æå) RM2000-RM3000,Ql Lian Hoe Sdn. Bhd.,01,,johor bahru district,01,administration-clerk,2000.0,3000.0,monthly,2024-03-22
58,74636788,Account Executive,Zeck Soon Auto Parts Trading Sdn. Bhd.,10,10,klang district,00,account-executive,3800.0,4200.0,monthly,2024-03-21
60,74658656,Backend Developer,Greywolf Networks Sdn. Bhd.,14,14,bangsar south,17,backend-developer,4000.0,6000.0,monthly,2024-03-22
61,74638631,Admin cum logistic coordinator,Yonja Performance Materials Sdn. Bhd.,10,10,shah alam/subang,01,logistics-coordinator,3500.0,4500.0,monthly,2024-03-21
62,74649234,HR Assistant Manager (Client Facing Advisory) - Work from Home,3E Accounting Pte Ltd,14,,kuala lumpur,16,Assistant-Human-Resources-Manager,6000.0,9000.0,monthly,2024-03-22
63,74658244,Accounts cum Tax Executive,Switch Corporate Management (M) Sdn. Bhd.,07,,penang island,00,tax-executive,3000.0,4400.0,monthly,2024-03-22
66,74661931,"Senior Analyst, Loan Operation Services",Sumitomo Mitsui Banking Corporation Shared Services,14,,kuala lumpur,03,analyst,4500.0,6500.0,monthly,2024-03-22
68,74662577,"Manager, Finance",Olylife International Sdn. Bhd.,14,,kuala lumpur,00,finance-manager,7750.0,9800.0,monthly,2024-03-22
69,74630909,Assistant Human Resource Manager,Mumsme Sdn. Bhd.,01,,johor bahru district,16,Assistant-Human-Resources-Manager,5000.0,5900.0,monthly,2024-03-21
72,74630665,HR/ Admin Executive,Top Traffic Marketing,07,,penang island,16,Human-Resources-and-Administration-Executive,3000.0,4500.0,monthly,2024-03-21
76,74662369,Software Support Engineer,Silverstream Technology Sdn. Bhd.,10,1007,petaling,17,software-support-engineer,4000.0,6000.0,monthly,2024-03-22
79,74662021,PHP Software Engineer,Silverstream Technology Sdn. Bhd.,10,1007,petaling,17,software-engineer,3800.0,5500.0,monthly,2024-03-22
80,74657011,Supply Chain Logistic and Fulfillment Specialist,Sci Ecommerce,14,,kuala lumpur,20,fulfilment-specialist,4000.0,6000.0,monthly,2024-03-22
82,74642667,Electrical Engineer/Technician (Fresh graduates are welcome to apply),Centech Machinery Sdn. Bhd.,10,1007,petaling,11,electrical-engineer,8000.0,12000.0,monthly,2024-03-22
85,74642739,Senior Accounting Executive,Mana-Mana Suites Sdn. Bhd.,14,,kuala lumpur,00,accounting-executive,4000.0,5000.0,monthly,2024-03-21
86,74620947,ACCOUNTS EXECUTIVE,Able Global Berhad (Formerly Known As Johore Tin Berhad),01,,johor bahru district,00,accounts-executive,3500.0,4000.0,monthly,2024-03-21
88,74657073,Supply Chain Planning,Sci Ecommerce,14,,kuala lumpur,20,,4000.0,6000.0,monthly,2024-03-22
89,74637981,Accountant,Imika Empire Sdn. Bhd.,08,0807,kinta district,00,accountant,4000.0,6000.0,monthly,2024-03-21
91,74650277,"Analyst, Anti Money Laundering (AML)",Sumitomo Mitsui Banking Corporation Shared Services,14,14,kl eco city,03,analyst,2800.0,4000.0,monthly,2024-03-22
92,74648146,Senior Finance Executive,Centerfield Business Solutions Sdn. Bhd.,14,,kuala lumpur,00,finance-executive,4000.0,5500.0,monthly,2024-03-22
93,74600813,HR & Admin Assistant Manager/Manager,Seamap (Malaysia) Sdn. Bhd.,01,,johor,16,Human-Resources-and-Administration-Manager,4500.0,6000.0,monthly,2024-03-20
94,74624162,Operations Executive,Bio Harvest Sdn. Bhd.,10,10,gombak district,00,operations-executive,2000.0,2500.0,monthly,2024-03-21
97,74629711,PA to Chairman,Novel Leap Sdn. Bhd.,14,,kuala lumpur,01,chairperson,4500.0,5500.0,monthly,2024-03-21
98,74648885,"Executive - Parts Planning & Ordering, Spare Parts Division",Perodua Sales Sdn. Bhd.,10,10,gombak district,20,Executive,2800.0,3800.0,monthly,2024-03-22
102,74660933,Admin Assistant,Daitobest Sdn. Bhd.,10,1007,petaling,01,administration-officer,2000.0,3000.0,monthly,2024-03-22
104,74661940,Admin Assistant,Pacific Oil Seals Sdn. Bhd.,10,10,klang district,01,administration-officer,2500.0,3500.0,monthly,2024-03-22
105,74665214,Admin Assistant/ Admin Clerk,Usjaya Sdn. Bhd.,04,,melaka,01,administration-officer,1550.0,2300.0,monthly,2024-03-22
106,74657223,HR Manager,Ecopia Sdn. Bhd.,10,,selangor,16,human-resources-manager,4500.0,6750.0,monthly,2024-03-22
107,74661342,Human Resource Executive/ Officer (2 vacancies),Daiman Development Berhad,01,,johor bahru district,16,human-resource-executive,3200.0,4800.0,monthly,2024-03-22
108,74663713,Customer Service Executive,Qube Apps Solutions Sdn. Bhd.,14,14,kepong,01,customer-service-executive,3000.0,3500.0,monthly,2024-03-22
110,74669273,Office Admin,Mastering Services Sdn. Bhd.,10,10,shah alam/subang,01,office-administrator,2600.0,3900.0,monthly,2024-03-22
113,74665221,Administration Officer,Funai Malaysia R&D,01,,johor bahru district,01,administration-officer,3000.0,4000.0,monthly,2024-03-22
114,74668612,ASSISTANT ADMIN EXECUTIVE,Otm Group Sdn. Bhd.,10,,selangor,01,administrative-executive,2500.0,3750.0,monthly,2024-03-22
115,74633872,OFFICE ADMIN CUM ACCOUNT ASSISTANT,Kas Zinc Holdings Sdn. Bhd.,01,,johor bahru district,01,accounts-and-admin-assistant,2000.0,2500.0,monthly,2024-03-22
117,74678060,Admin Operation Assistant,My Shopnsave Group Sdn. Bhd.,10,1007,petaling,01,operations-assistant,2200.0,2800.0,monthly,2024-03-23
118,74668923,Management Trainee/Internship,Smart Business Consulting,14,,kuala lumpur,08,management-trainee,1400.0,2100.0,monthly,2024-03-22
119,74658695,Processing Officer,Icon Venture Capital Sdn. Bhd.,14,,kuala lumpur,01,processing-officer,3000.0,4500.0,monthly,2024-03-22
120,74663101,Admin Assistant,A.Kanga Agency,10,10,kajang/bangi/serdang,01,administration-officer,1500.0,2000.0,monthly,2024-03-22
121,74660603,Internship Trainee - Project Engineer (Mechanical),United Straits M & E Sdn. Bhd.,07,,penang island,11,mechanical-project-engineer,1000.0,1100.0,monthly,2024-03-22
123,74659226,Customer Support Officer,Mazone Service,07,,penang,17,customer-support-officer,2500.0,3500.0,monthly,2024-03-22
126,74658566,General Admin,Tehmag Foods Corporation Sdn. Bhd.,10,,selangor,01,administration,2500.0,3200.0,monthly,2024-03-22
130,74660486,Account Executive (Immediate Hiring!),Leo Technology Sdn. Bhd.,01,,johor bahru district,00,account-executive,3700.0,5000.0,monthly,2024-03-22
132,74669117,Administrative Assistant,Vivid Telecommunication Sdn. Bhd.,10,1007,petaling,01,administration-officer,2000.0,2800.0,monthly,2024-03-22
134,74634314,Admin Executive (Open to Fresh Graduate),J&J Concepts Sdn. Bhd.,14,1402,cheras,01,administrative-executive,2000.0,3000.0,monthly,2024-03-21
135,74642781,Admin Assistant,Cnc Market Research And Consulting,10,1007,petaling,01,administration-officer,2000.0,3000.0,monthly,2024-03-21
138,74669477,Admin,Strongbox Tech Sdn. Bhd.,10,1007,petaling,01,administration,2500.0,3500.0,monthly,2024-03-22
139,74601618,"Executive, Production",Ffm Further Processing Sdn. Bhd.,10,10,klang district,11,production-executive,3200.0,4500.0,monthly,2024-03-20
140,74571490,Office Administrator,Deluxe F&B Sdn. Bhd.,14,14,kl eco city,01,office-administrator,3500.0,4500.0,monthly,2024-03-19
141,74447212,Technical Assistant,Mcdonald'S Malaysia- Gerbang Alaf Restaurants Sdn. Bhd.,10,,selangor,11,technical-assistant,1800.0,2000.0,monthly,2024-03-22
142,74660090,HR & Admin Executive,Jct Industries Group Sdn. Bhd.,02,0204,kuala muda,16,Human-Resources-and-Administration-Executive,2500.0,3500.0,monthly,2024-03-22
143,74661456,Admin Executive,Inspire Edge Studio,10,1007,petaling,01,administrative-executive,2800.0,3500.0,monthly,2024-03-22
146,74663484,Accounts Executive,Qube Apps Solutions Sdn. Bhd.,14,14,kepong,00,accounts-executive,3000.0,4000.0,monthly,2024-03-22
147,74663850,Warehouse Admin Assistant,Elabram Systems Sdn. Bhd.,10,1007,petaling,01,Warehouse-Administration-Officer,1600.0,2300.0,monthly,2024-03-22
149,74610264,Customer Service Executive,Mumsme Sdn. Bhd.,01,,johor bahru district,01,customer-service-executive,3100.0,4100.0,monthly,2024-03-20
150,74663856,Admin Assistant / General Clerk  è¡æ¿å©ç/æå¡,Mega Radiation Sdn. Bhd.,14,,kuala lumpur,01,administration-officer,2500.0,3200.0,monthly,2024-03-22
152,74655390,DBA (MSSQL),The Accessâ Group,14,,kuala lumpur,17,database-administrator,8000.0,12000.0,monthly,2024-03-22
154,74630878,Operations Executive / Compliance officer,Dzh International Pte Ltd,15,,labuan,03,compliance-executive,3000.0,4500.0,monthly,2024-03-21
155,74661564,Accounts Assistant ä¼è®¡æ§è¡å,Inmax Industries Sdn. Bhd.,05,0506,seremban district,00,accounts-assistant,2200.0,3000.0,monthly,2024-03-22
157,74636271,FINANCE ASSISTANT MANAGER,Verity Intelligence Sdn. Bhd.,10,1007,petaling,00,assistant-finance-manager,6500.0,8000.0,monthly,2024-03-21
158,74677503,Admin & HR Assistant / Officer (Taman Perindustrian Puchong),Agensi Pekerjaan Dream Career Sdn. Bhd.,10,,selangor,01,human-resources-and-administration-officer,2400.0,2700.0,monthly,2024-03-23
160,74665336,Accounts Payable Officer,Dematic (M) Sdn. Bhd.,10,10,shah alam/subang,00,accounts-payable-officer,3000.0,4500.0,monthly,2024-03-22
161,74665813,Personal Assistant,Aramijaya Agri & Agro Sdn. Bhd.,01,,johor bahru district,01,personal-assistant,5000.0,7000.0,monthly,2024-03-22
163,74660238,Purchasing Executive,Quill Orthopaedic Specialist Centre Sdn. Bhd.,14,,kuala lumpur,20,purchasing-executive,3000.0,4200.0,monthly,2024-03-22
164,74660095,ACCOUNT EXECUTIVE,Illegear Sdn. Bhd.,14,,kuala lumpur,00,account-executive,3500.0,4500.0,monthly,2024-03-22
165,74660743,Vocational Training Officer,Miraj Academy Sdn. Bhd.,10,1002,hulu langat,16,Vocational-Training-Officer,3000.0,4000.0,monthly,2024-03-22
166,74636293,Admin Assistant,Lip Kong Manufacturing & Marketing Sdn. Bhd.,04,,melaka,01,administration-officer,1700.0,2300.0,monthly,2024-03-21
167,74668889,PERSONAL ASSISTANT,Kl Automation Engineering Sdn. Bhd.,10,1007,petaling,01,personal-assistant,3400.0,5000.0,monthly,2024-03-22
168,74662380,Senior Executive - HR & Admin (Based in Papua New Guinea),Private Advertiser,14,,kuala lumpur,16,Human-Resources-and-Administration-Executive,4500.0,6000.0,monthly,2024-03-22
171,74660453,Procurement Executive,Pacific Oil Seals Sdn. Bhd.,14,,kuala lumpur,20,procurement-executive,3500.0,4600.0,monthly,2024-03-22
172,74638804,Admin Assistant,Plus Nature Gmp,14,14,kepong,01,administration-officer,1800.0,2500.0,yearly,2024-03-22
173,74662012,HR Cum Admin Executive,Aim Automation Solution Sdn.. Bhd.,01,0105,kulai district,16,Human-Resources-and-Administration-Executive,2200.0,2800.0,monthly,2024-03-22
176,74650096,"Executive, Technical Support Analyst (Service)",Honda Malaysia Sdn. Bhd.,10,1007,petaling,17,technical-support-analyst,2900.0,3500.0,monthly,2024-03-22
178,74643360,International Customer Success Manager,Partsbase Inc,14,,kuala lumpur,25,customer-success-manager,10.0,11.0,monthly,2024-03-21
182,74667705,Purchasing Executive (5 working days),E-Nescom Designify Elements Sdn. Bhd.,01,,johor,01,purchasing-executive,3500.0,5250.0,monthly,2024-03-22
183,74634940,Internship,Island Shop M Sdn. Bhd.,14,,kuala lumpur,01,,1000.0,1200.0,monthly,2024-03-21
185,74661915,WFH  Admin Assistant (JAS/CONSADMIN),Private Advertiser,06,,pahang,01,administration-officer,1800.0,2000.0,monthly,2024-03-22
186,74658463,Accounts Executive,Esd Design Sdn. Bhd.,14,14,kepong,00,accounts-executive,3500.0,4000.0,monthly,2024-03-22
187,74635930,Admin Assistant,Em Test (M) Sdn. Bhd.,10,10,shah alam/subang,01,administration-officer,2500.0,3750.0,monthly,2024-03-21
189,74661477,ACCOUNTS ASSISTANT MANAGER ä¼è®¡é¨å¯ç,Inmax Industries Sdn. Bhd.,05,0506,seremban district,00,account-manager,4000.0,5500.0,monthly,2024-03-22
190,74660931,Admin Manager,Digital 38 Sdn. Bhd.,14,,kuala lumpur,16,administration-manager,5000.0,7000.0,monthly,2024-03-22
191,74628733,JURUTEKNIK TCST,Sirim Qas International Sdn. Bhd.,10,10,shah alam/subang,11,,1900.0,2200.0,monthly,2024-03-21
193,74657895,Account Executive,Aim Coffee (M) Sdn. Bhd.,10,1002,hulu langat,00,account-executive,3000.0,4500.0,monthly,2024-03-22
194,74658023,"Technician - GPS Installer (Vacancy in KL,Penang,Terengganu)",Cartrack,14,,kuala lumpur,11,technician,2600.0,2700.0,monthly,2024-03-22
196,74661815,Admin and Accounts Assistant,Agensi Pekerjaan Es2000 Sdn. Bhd.,14,14,taman desa,01,accounts-and-admin-assistant,2200.0,3200.0,monthly,2024-03-22
199,74656590,Key Account Manager,Tycoon Asia Pacific (Malaysia) Sdn. Bhd.,10,,selangor,25,key-account-manager,8000.0,12000.0,monthly,2024-03-22
202,74661174,Accounts Executive,Chronosys Integrator Sdn. Bhd.,10,10,kajang/bangi/serdang,00,accounts-executive,4000.0,5000.0,monthly,2024-03-22
203,74662126,Account Executive,Bestari Bina Ventures (M) Sdn. Bhd.,10,1002,hulu langat,00,account-executive,2000.0,2500.0,monthly,2024-03-22
204,74669567,Accounts Executive,Pwr Design Sdn. Bhd.,10,1007,petaling,00,accounts-executive,2500.0,3500.0,monthly,2024-03-22
205,74638838,Admin Assistant,Psl Management Services,10,,selangor,01,administration-officer,2000.0,2500.0,monthly,2024-03-21
206,74677680,Finance Executive,Tan Chong Motor Assemblies Sdn. Bhd.,14,,kuala lumpur,00,finance-executive,2800.0,3500.0,monthly,2024-03-23
207,74638427,Senior Talent Acquisition Executive,Emax Beautã© International Sdn. Bhd.,14,14,bangsar,16,talent-acquisition-executive,5000.0,6500.0,monthly,2024-03-21
209,74598206,Junior Chemical Process (BeneficiationÂ Direction),Esteel Enterprise Sabah Sdn. Bhd.,12,1221,sipitang district,11,,2500.0,3500.0,monthly,2024-03-20
211,74661385,Procurement Executive,Lucenxia (M) Sdn. Bhd.,10,1007,petaling,20,procurement-executive,3500.0,4100.0,monthly,2024-03-22
212,74646979,"Office Admin / Customer Service (Location : Platinum Walk, Setapak)",Private Advertiser,14,14,setapak,01,office-administration-and-customer-service-officer,2000.0,3000.0,monthly,2024-03-22
216,74669201,HR Executive,Vivid Telecommunication Sdn. Bhd.,10,1007,petaling,16,human-resource-executive,3000.0,3800.0,monthly,2024-03-22
217,74651126,Internship Engineering (Electronic & Electrical),Jess Technology Sdn. Bhd.,10,,selangor,11,engineering,1000.0,1500.0,monthly,2024-03-22
218,74600796,Human Resources Officer,Ye Chiu Non-Ferrous Metal (M) Sdn. Bhd.,01,,johor,16,human-resources-officer,3200.0,4200.0,monthly,2024-03-20
220,74662800,Assistant Manager (Digital Information & Technology Department (DITD)),Perak Corporation Berhad & Group,08,0807,kinta district,17,information-technology,6000.0,8900.0,monthly,2024-03-22
221,74658134,Account Executive,Cemerlang (Kjm) Sdn. Bhd.,10,,selangor,00,account-executive,3000.0,4200.0,monthly,2024-03-22
222,74658443,Account Executive,Private Advertiser,14,,kuala lumpur,00,account-executive,3500.0,4000.0,monthly,2024-03-22
224,74648232,ADMIN ASSISTANT,Unihub Auto Sdn. Bhd.,10,1007,petaling,01,administration-officer,2200.0,2700.0,monthly,2024-03-22
225,74661648,IT Support,Jutanet Unity Sdn. Bhd.,14,,kuala lumpur,17,information-technology-support,2000.0,3000.0,monthly,2024-03-22
227,74662868,Assistant Project Engineer,Srebro Solutions Sdn. Bhd.,10,,kuala selangor district,11,project-engineer,2400.0,3500.0,monthly,2024-03-22
229,74657859,Finance Assistant - 6 months contract (multiple contract positions),World Health Organization - Global Service Centre,10,10,sepang,00,financial-assistant,3500.0,3520.0,monthly,2024-03-22
232,74677974,Account Executive,Private Advertiser,12,1207,kota kinabalu district,00,account-executive,3800.0,4500.0,monthly,2024-03-23
233,74668633,ACCOUNTS EXECUTIVE,Bottega Mediterranea Sdn. Bhd.,10,1007,petaling,00,accounts-executive,3000.0,3500.0,monthly,2024-03-22
235,74652325,Administrative Executive & Admin Assistant,Chartwell Asset Management Sdn.. Bhd.,10,1007,petaling,01,Executive-Administration-Officer,2300.0,2500.0,monthly,2024-03-22
236,74667977,Accounts Executive (5 working days),E-Nescom Designify Elements Sdn. Bhd.,01,,johor bahru district,00,accounts-executive,3500.0,5000.0,monthly,2024-03-22
237,74648654,HR & Admin Assistant äººäºè¡æ¿å©ç,Fiffy Sdn. Bhd.,01,,johor bahru district,01,Human-Resources-Administration-Officer,2300.0,3000.0,monthly,2024-03-22
238,74654924,Office Admin,Rich Products Corporation,10,1007,petaling,01,office-administrator,3500.0,4500.0,monthly,2024-03-22
239,74677998,Environmental Engineer,Shin-Etsu (Malaysia) Sdn. Bhd.,10,10,shah alam/subang,11,environmental-engineer,3000.0,3500.0,monthly,2024-03-23
240,74661277,ADMIN EXECUTIVE,Qdos Interconnect Sdn. Bhd.,06,0602,seberang perai,01,administrative-executive,2800.0,3500.0,monthly,2024-03-22
241,74665863,Order Processing Specialist,Procurri Malaysia Sdn. Bhd.,10,1007,petaling,01,order-processing-specialist,2500.0,2800.0,monthly,2024-03-22
242,74181086,Admin Assistant,Doctor Anywhere Operations Pte. Ltd.,10,1007,petaling,01,administration-officer,2000.0,2600.0,monthly,2024-03-22
243,74650808,Assistant HR & Admin Manager,Ams Group Of Companies,14,1402,cheras,16,Human-Resources-and-Administration-Manager,5500.0,8000.0,monthly,2024-03-22
244,74651297,Operations Safety Executive,Hengyuan Refining Company  Berhad,05,0504,port dickson district,11,Safety-Executive,4000.0,6000.0,monthly,2024-03-22
250,74668912,Account Executive,Kami Global Venture Sdn. Bhd.,01,,johor bahru district,00,account-executive,2000.0,2800.0,monthly,2024-03-22
251,74663147,Senior Procurement Executive,Qube Apps Solutions Sdn. Bhd.,14,14,kepong,20,procurement-executive,4000.0,5000.0,monthly,2024-03-22
252,74661370,ACCOUNT'S CLERK,Mirandah Asia (Malaysia) Sdn. Bhd.,14,,kuala lumpur sentral,00,accounts-clerk,2500.0,3000.0,monthly,2024-03-22
253,74595306,Accountant / Accounts Executive,Fuji Smt (Malaysia) Sdn. Bhd.,01,,johor bahru district,00,accounts-executive,3500.0,4000.0,monthly,2024-03-20
254,74600827,Accounts cum Admin Assistant,Bcs Logistics Sdn. Bhd.,10,,selangor,00,accounts-and-admin-assistant,2200.0,3000.0,monthly,2024-03-22
259,74675147,Personal Assistant (PA) to CFO,Superlife World Sdn. Bhd.,14,1402,cheras,01,personal-assistant,3500.0,5000.0,monthly,2024-03-22
261,74662018,Document Controller,Envirotech Industry Sdn. Bhd.,08,0805,kampar district,01,document-controller,2500.0,3000.0,monthly,2024-03-22
262,74661554,Android Developer /Sr Android Developer,B-Global Sdn. Bhd.,07,,penang,17,android-developer,5000.0,7500.0,monthly,2024-03-22
265,74660623,Senior Admin Executive / Assistant,Private Advertiser,14,,kuala lumpur,01,executive-assistant,2400.0,3600.0,monthly,2024-03-22
266,74675197,Group HR & Admin Manager,Private Advertiser,14,1402,cheras,16,Human-Resources-and-Administration-Manager,7000.0,8000.0,monthly,2024-03-22
267,74662768,Human Resource Executive,Pmb Aluminium Sdn. Bhd.,10,10,klang district,16,human-resource-executive,3500.0,5000.0,monthly,2024-03-22
268,74669746,Engineering Manager (PCBA & Assembly Manufacturing),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,06,0602,seberang perai,11,engineering-manager,10000.0,15000.0,monthly,2024-03-22
269,74662719,Process Engineer,Private Advertiser,08,,perak,11,process-engineer,4000.0,6000.0,monthly,2024-03-22
270,74598035,Admin Assistant,Coolblog Dessert Sdn. Bhd.,01,,johor bahru district,01,administration-officer,1800.0,2500.0,monthly,2024-03-20
271,74679522,Personal Assistant,Dayou United Electronics (M) Sdn.Bhd.,14,,kuala lumpur,01,personal-assistant,3500.0,5000.0,monthly,2024-03-23
274,74660809,Software Engineer (Fresh Grad are Welcome),Cipher Technology Sdn. Bhd.,14,,kuala lumpur,17,software-engineer,7500.0,11000.0,monthly,2024-03-22
275,74649094,HALAL EXECUTIVE & DOCUMENT CONTROLLER,Season Confectionary And Bakery,01,,johor bahru district,01,document-controller,2300.0,2800.0,monthly,2024-03-22
276,74633159,ADMIN CLERK,Bao Kang Vegetable Sdn. Bhd.,01,,johor bahru district,01,administration-clerk,2200.0,2500.0,monthly,2024-03-21
279,74665449,Engineering Intern,Levionics Sdn. Bhd.,10,,selangor,11,engineering,1000.0,1400.0,monthly,2024-03-22
281,74638348,Mechanical Design Engineer (Pipe/Steel/Equipment),Tialoc Malaysia Environmental Sdn. Bhd.,02,0206,kulim district,11,mechanical-design-engineer,4000.0,6000.0,monthly,2024-03-21
285,74662375,System Support Specialist,Continuity Success Consulting Sdn. Bhd.,10,1007,petaling,17,systems-support-specialist,3000.0,4500.0,monthly,2024-03-22
287,74636002,Accounts Senior Executive,Private Advertiser,10,1007,petaling,00,account-executive,5000.0,7000.0,monthly,2024-03-21
289,74650707,ACCOUNTS EXECUTIVE,Private Advertiser,14,14,kl eco city,00,accounts-executive,3500.0,4000.0,monthly,2024-03-22
290,74660164,SENIOR OPERATION & FINANCE EXECUTIVE,Quill Orthopaedic Specialist Centre Sdn. Bhd.,14,,kuala lumpur,00,finance-executive,5000.0,7000.0,monthly,2024-03-22
291,74660943,Production Trainer,Leaderart Industries (M) Sdn. Bhd.,01,,johor bahru district,16,trainer,2000.0,3000.0,monthly,2024-03-22
294,74665055,Maintenance Engineer,Armstrong Electronics Sdn. Bhd.,01,0105,kulai district,11,maintenance-engineer,4000.0,6000.0,monthly,2024-03-22
296,74649821,Helpdesk Support (Shift Work),Ust Global (M) Sdn. Bhd.,02,0206,kulim district,17,helpdesk-support,2500.0,3000.0,monthly,2024-03-22
